organismo,nombre,cargo,grado,estamento,sueldo_bruto,fuente,archivo_origen,fecha_procesamiento
Servicio Nacional de Turismo,Isabel García,Director,1,Directivo,7039248,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Impuestos Internos,Pedro López,Director,1,Directivo,8779918,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,María Hernández,Jefe de Departamento,1,Directivo,7796951,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Capacitación,Carlos Martínez,Coordinador,1,Directivo,8841762,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Bienes Nacionales,María Pérez,Jefe de División,1,Directivo,8216196,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Ciencia,Carlos González,Subdirector,1,Directivo,7444890,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,Pedro Rodríguez,Coordinador,1,Directivo,8070226,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,María Torres,Director,1,Directivo,7907570,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Minería,Juan López,Coordinador,1,Directivo,8760542,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,Juan Martínez,Coordinador,1,Directivo,8292904,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Carlos Hernández,Director,1,Directivo,8318407,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,Carlos Sánchez,Jefe de Departamento,1,Directivo,6384790,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Carmen Pérez,Subdirector,2,Directivo,6286610,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,María Rodríguez,Director,2,Directivo,6483727,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Discapacidad,Elena Sánchez,Subdirector,2,Directivo,6328642,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Aysén,Pedro García,Subdirector,2,Directivo,6867407,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Educación,María Torres,Subdirector,2,Directivo,6563188,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Lagos,Pedro Sánchez,Jefe de Departamento,2,Directivo,6999856,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional del Consumidor,Juan Torres,Subdirector,2,Directivo,6024956,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Turismo,Miguel Ramírez,Jefe de División,2,Directivo,7252785,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de las Culturas,Carmen Ramírez,Jefe de División,2,Directivo,6114299,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Arica y Parinacota,Carlos García,Coordinador,2,Directivo,5857740,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Menores,Juan Hernández,Coordinador,2,Directivo,6740568,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Valparaíso,Elena Ramírez,Jefe de Departamento,2,Directivo,6018987,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de La Araucanía,Isabel Martínez,Subdirector,2,Directivo,6082915,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de las Culturas,Luis Sánchez,Jefe de División,2,Directivo,5585502,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Trabajo,Ana Torres,Subdirector,2,Directivo,6617937,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Pesca,Ana García,Jefe de División,4,Directivo,5438858,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Carlos González,Subdirector,4,Directivo,5874273,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Discapacidad,Luis Sánchez,Subdirector,4,Directivo,5405321,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Turismo,Juan Sánchez,Jefe de División,4,Directivo,6035995,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Ríos,María Sánchez,Coordinador,4,Directivo,6371274,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,Pedro Hernández,Jefe de División,4,Directivo,5240470,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Los Ríos,Luis Torres,Subdirector,4,Directivo,5552763,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Aduanas,María Rodríguez,Director,4,Directivo,5262680,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Presidencia de la República,Carmen López,Director,4,Directivo,5573149,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Trabajo,Juan Ramírez,Jefe de División,5,Directivo,5861207,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Agricultura,Isabel Sánchez,Jefe de Departamento,5,Directivo,5263530,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional del Biobío,Juan López,Subdirector,5,Directivo,4926418,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Pesca,Elena López,Director,5,Directivo,5005939,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Elena Hernández,Coordinador,5,Directivo,5193062,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Minería,Pedro Torres,Jefe de Departamento,5,Directivo,5075272,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Agricultura,Carmen Torres,Jefe de Departamento,5,Directivo,5529715,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Isabel Martínez,Subdirector,5,Directivo,5261960,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Energía,Elena Ramírez,Subdirector,5,Directivo,5668720,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Aduanas,Ana Ramírez,Jefe de Departamento,5,Directivo,5009265,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Elena González,Jefe de Departamento,5,Directivo,5298404,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Interior,Carmen Martínez,Jefe de Departamento,5,Directivo,5818849,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Agricultura,Carlos García,Director,6,Directivo,5701922,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional del Biobío,Elena Torres,Jefe de Departamento,6,Directivo,5208437,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Magallanes,Carlos López,Jefe de Departamento,6,Directivo,4637824,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Salud,Ana Ramírez,Jefe de Departamento,6,Directivo,5481974,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Hacienda,Carmen Martínez,Coordinador,6,Directivo,5003272,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de La Araucanía,Carmen García,Jefe de División,6,Directivo,4102189,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio del Medio Ambiente,Carlos López,Subdirector,6,Directivo,5132005,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,Luis Hernández,Jefe de Departamento,6,Directivo,5144676,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Agricultura,Miguel González,Jefe de Departamento,6,Directivo,4912654,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Magallanes,Ana Pérez,Jefe de Departamento,6,Directivo,5181394,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Vivienda,Isabel Martínez,Coordinador,6,Directivo,4619778,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de Energía,Juan Ramírez,Subdirector,6,Directivo,4552625,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Gobierno Regional de Ñuble,Miguel López,Director,6,Directivo,4878662,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Pesca,Miguel Ramírez,Jefe de División,7,Directivo,5267298,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Ministerio de las Culturas,Luis López,Coordinador,7,Directivo,5088438,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional de Aduanas,Juan Torres,Coordinador,7,Directivo,5038049,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio Nacional del Consumidor,Miguel Martínez,Coordinador,7,Directivo,4669708,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
Servicio de Registro Civil,María Hernández,Jefe de Departamento,7,Directivo,5230445,sintetico_realista,generado_automaticamente,2025-09-23 18:11:18
